(CSUS_ART 20B, CalPoly_ART 201)
(CSUS_ART 88, CalPoly_ART 148)
(CSUS_CSC 253, CalPoly_CSC 105)
(CSUS_CSC 253, CalPoly_CSC 101)
(CSUS_COMS 108, CalPoly_COMS 428)
(CSUS_CM 15, CalPoly_CM 115)
(CSUS_CM 15, CalPoly_CM 443)
(CSUS_ART 183, CalPoly_ART 448)
(CSUS_ART 141, CalPoly_ART 470)
(CSUS_ART 141, CalPoly_ART 448)
(CSUS_COMS 209, CalPoly_COMS 319)
(CSUS_COMS 173, CalPoly_COMS 319)
(CSUS_CSC 151, CalPoly_CSC 483)
(CSUS_CE 147, CalPoly_CE 421)
(CSUS_ART 40, CalPoly_ART 209)
(CSUS_ART 22, CalPoly_ART 209)
(CSUS_CSC 214, CalPoly_CSC 481)
(CSUS_CE 149, CalPoly_CE 481)
(CSUS_CE 149, CalPoly_CE 586)
(CSUS_CSC 123, CalPoly_CSC 436)
(CSUS_CPE 166, CalPoly_CPE 522)
(CSUS_CE 235, CalPoly_CE 558)
(CSUS_CE 139, CalPoly_CE 433)
(CSUS_COMS 161, CalPoly_COMS 418)
(CSUS_COMS 201, CalPoly_COMS 311)
(CSUS_CHEM 189A, CalPoly_CHEM 201)
(CSUS_ART 134, CalPoly_ART 111)
(CSUS_ART 134, CalPoly_ART 353)
(CSUS_CSC 215, CalPoly_CSC 580)
(CSUS_CSC 215, CalPoly_CSC 480)
(CSUS_CE 276, CalPoly_CE 434)
(CSUS_CE 148, CalPoly_CE 526)
(CSUS_ECON 152, CalPoly_ECON 432)
(CSUS_CE 184, CalPoly_CE 583)
(CSUS_ECON 162, CalPoly_ECON 432)
(CSUS_ART 108, CalPoly_ART 315)
(CSUS_ART 182, CalPoly_ART 348)
(CSUS_ECON 190, CalPoly_ECON 404)
(CSUS_ECON 190, CalPoly_ECON 330)
(CSUS_ECON 290, CalPoly_ECON 404)
(CSUS_ECON 290, CalPoly_ECON 330)
(CSUS_CSC 254, CalPoly_CSC 422)
(CSUS_CSC 258, CalPoly_CSC 469)
(CSUS_CSC 258, CalPoly_CSC 560)
(CSUS_CE 269, CalPoly_CE 599)
(CSUS_CHEM 141, CalPoly_CHEM 354)
(CSUS_CHEM 25, CalPoly_CHEM 354)
(CSUS_COMS 117, CalPoly_COMS 386)
(CSUS_COMS 117, CalPoly_COMS 312)
(CSUS_CM 126, CalPoly_CM 371)
(CSUS_CM 126, CalPoly_CM 212)
(CSUS_CM 126, CalPoly_CM 214)
(CSUS_COMS 171, CalPoly_COMS 312)
(CSUS_COMS 55, CalPoly_COMS 386)
(CSUS_CM 20, CalPoly_CM 371)
(CSUS_CM 20, CalPoly_CM 310)
(CSUS_COMS 162, CalPoly_COMS 421)
(CSUS_COMS 212, CalPoly_COMS 217)
(CSUS_COMS 105, CalPoly_COMS 217)
(CSUS_ART 115, CalPoly_ART 317)
(CSUS_ART 115, CalPoly_ART 318)
(CSUS_ART 3A, CalPoly_ART 317)
(CSUS_ART 3A, CalPoly_ART 318)
(CSUS_CSC 130, CalPoly_CSC 349)
(CSUS_ART 5, CalPoly_ART 318)
(CSUS_ART 5, CalPoly_ART 310)
(CSUS_ART 198, CalPoly_ART 489)
(CSUS_ART 3B, CalPoly_ART 318)
(CSUS_ART 113B, CalPoly_ART 318)
(CSUS_ART 110, CalPoly_ART 489)
(CSUS_ART 110, CalPoly_ART 317)
(CSUS_ART 110, CalPoly_ART 318)
(CSUS_ART 110, CalPoly_ART 310)
(CSUS_ART 110, CalPoly_ART 211)
(CSUS_CSC 140, CalPoly_CSC 349)
(CSUS_CSC 206, CalPoly_CSC 349)
(CSUS_ANTH 200, CalPoly_ANT 425)
(CSUS_CSC 244, CalPoly_CSC 366)
(CSUS_CPE 273, CalPoly_CPE 523)
(CSUS_CPE 273, CalPoly_CPE 133)
(CSUS_CHEM 189C, CalPoly_CHEM 401)
(CSUS_ART 106, CalPoly_ART 371)
(CSUS_ECON 180, CalPoly_ECON 434)
(CSUS_CHDV 128, CalPoly_CD 329)
(CSUS_CHDV 200, CalPoly_CD 207)
(CSUS_CHDV 200, CalPoly_CD 329)
(CSUS_CHDV 157, CalPoly_CD 207)
(CSUS_CHDV 157, CalPoly_CD 305)
(CSUS_CE 164, CalPoly_CE 355)
(CSUS_CE 164, CalPoly_CE 559)
(CSUS_CHDV 132, CalPoly_CD 207)
(CSUS_CHDV 132, CalPoly_CD 329)
(CSUS_CE 168, CalPoly_CE 559)
(CSUS_CHDV 295, CalPoly_CD 207)
(CSUS_CHDV 295, CalPoly_CD 329)
(CSUS_CSC 238, CalPoly_CSC 486)
(CSUS_DNCE 122, CalPoly_DANC 340)
(CSUS_CHDV 144, CalPoly_CD 207)
(CSUS_CHDV 211, CalPoly_CD 207)
(CSUS_CHDV 211, CalPoly_CD 329)
(CSUS_DNCE 120, CalPoly_DANC 340)
(CSUS_CHDV 137, CalPoly_CD 102)
(CSUS_CHDV 44, CalPoly_CD 207)
(CSUS_CHDV 244, CalPoly_CD 207)
(CSUS_COMS 145, CalPoly_COMS 102)
(CSUS_COMS 145, CalPoly_COMS 213)
(CSUS_COMS 206, CalPoly_COMS 102)
(CSUS_COMS 206, CalPoly_COMS 213)
(CSUS_CHEM 126, CalPoly_CHEM 312)
(CSUS_CHEM 226, CalPoly_CHEM 312)
(CSUS_ART 192B, CalPoly_ART 316)
(CSUS_ECON 299, CalPoly_ECON 400)
(CSUS_ECON 299, CalPoly_ECON 200)
(CSUS_ART 299, CalPoly_ART 200)
(CSUS_CE 299, CalPoly_CE 200)
(CSUS_CE 299, CalPoly_CE 400)
(CSUS_CSC 199, CalPoly_CSC 400)
(CSUS_CSC 199, CalPoly_CSC 200)
(CSUS_ECON 199, CalPoly_ECON 400)
(CSUS_ECON 199, CalPoly_ECON 200)
(CSUS_ANTH 299, CalPoly_ANT 200)
(CSUS_CE 199, CalPoly_CE 200)
(CSUS_CE 199, CalPoly_CE 400)
(CSUS_ART 199, CalPoly_ART 200)
(CSUS_ANTH 199, CalPoly_ANT 200)
(CSUS_CSC 299, CalPoly_CSC 400)
(CSUS_CSC 299, CalPoly_CSC 200)
(CSUS_CPE 199, CalPoly_CPE 200)
(CSUS_CPE 199, CalPoly_CPE 400)
(CSUS_CHEM 299, CalPoly_CHEM 200)
(CSUS_CHDV 199, CalPoly_CD 200)
(CSUS_CHDV 299, CalPoly_CD 200)
(CSUS_CPE 299, CalPoly_CPE 200)
(CSUS_CPE 299, CalPoly_CPE 400)
(CSUS_ART 122A, CalPoly_ART 309)
(CSUS_ART 140, CalPoly_ART 309)
(CSUS_CSC 191, CalPoly_CSC 492)
(CSUS_CSC 191, CalPoly_CSC 491)
(CSUS_CSC 190, CalPoly_CSC 492)
(CSUS_CSC 190, CalPoly_CSC 491)
(CSUS_CHEM 500, CalPoly_CHEM 495)
(CSUS_CHEM 500, CalPoly_CHEM 485)
(CSUS_CE 190A, CalPoly_CE 456)
(CSUS_CE 190A, CalPoly_CE 465)
(CSUS_COMS 500, CalPoly_COMS 485)
(CSUS_CSC 131, CalPoly_CSC 409)
(CSUS_CSC 131, CalPoly_CSC 236)
(CSUS_CSC 131, CalPoly_CSC 232)
(CSUS_CSC 131, CalPoly_CSC 235)
(CSUS_CE 146, CalPoly_CE 456)
(CSUS_CE 146, CalPoly_CE 465)
(CSUS_CE 146, CalPoly_CE 111)
(CSUS_CE 151, CalPoly_CE 111)
(CSUS_CE 1A, CalPoly_CE 456)
(CSUS_CE 1A, CalPoly_CE 465)
(CSUS_CE 1A, CalPoly_CE 111)
(CSUS_CE 1A, CalPoly_CE 259)
(CSUS_CHEM 1E, CalPoly_CHEM 125)
(CSUS_CHEM 1E, CalPoly_CHEM 126)
(CSUS_CHEM 1E, CalPoly_CHEM 124)
(CSUS_CE 289, CalPoly_CE 456)
(CSUS_ART 500, CalPoly_ART 494)
(CSUS_ART 500, CalPoly_ART 495)
(CSUS_CE 500, CalPoly_CE 493)
(CSUS_CE 500, CalPoly_CE 595)
(CSUS_CE 500, CalPoly_CE 494)
(CSUS_CE 500, CalPoly_CE 495)
(CSUS_CE 500, CalPoly_CE 593)
(CSUS_CE 500, CalPoly_CE 594)
(CSUS_CPE 500, CalPoly_CPE 494)
(CSUS_CPE 500, CalPoly_CPE 493)
(CSUS_CPE 500, CalPoly_CPE 495)
(CSUS_CE 195, CalPoly_CE 456)
(CSUS_CSC 288, CalPoly_CSC 409)
(CSUS_CSC 194, CalPoly_CSC 303)
(CSUS_CSC 250, CalPoly_CSC 521)
(CSUS_CSC 250, CalPoly_CSC 302)
